Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA,Year
Jordan Henderson,1,14,31.0,29,2597,2.0,2.0,5.0,3.0,0.0,1.5,1.5,3.5,3
Andrew Robertson,0,14,27.0,29,2537,3.0,3.0,10.0,5.0,1.0,1.4,1.4,5.6,3
Diogo Jota,2,14,24.0,27,2364,15.0,15.0,4.0,3.0,0.0,16.3,16.3,5.8,3
Fabinho,1,14,27.0,26,2314,5.0,3.0,1.0,7.0,0.0,3.9,2.4,1.3,3
Thiago Alcántara,1,14,30.0,17,1534,1.0,1.0,4.0,2.0,0.0,1.9,1.9,2.3,3
Naby Keïta,1,14,26.0,14,1173,3.0,3.0,1.0,3.0,0.0,2.2,2.2,1.9,3
Ibrahima Konaté,0,14,22.0,11,990,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,3
Luis Díaz,2,14,24.0,11,958,4.0,4.0,3.0,0.0,0.0,3.6,3.6,2.6,3
Roberto Firmino,2,14,29.0,10,990,5.0,5.0,4.0,3.0,0.0,4.7,4.7,1.7,3
Curtis Jones,1,14,20.0,10,851,1.0,1.0,1.0,0.0,0.0,0.9,0.9,0.6,3
Kostas Tsimikas,0,14,25.0,9,877,0.0,0.0,2.0,3.0,0.0,0.6,0.6,2.7,3
James Milner,1,14,35.0,9,853,0.0,0.0,1.0,2.0,0.0,0.4,0.4,2.2,3
Alex Oxlade-Chamberlain,1,14,27.0,9,785,2.0,2.0,1.0,0.0,0.0,1.3,1.3,1.1,3
Harvey Elliott,1,14,18.0,4,346,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,3
Joe Gomez,0,14,24.0,4,331,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.8,3
Takumi Minamino,2,14,26.0,1,186,3.0,3.0,0.0,1.0,0.0,1.6,1.6,0.5,3
Tyler Morton,1,14,18.0,1,66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
Divock Origi,2,14,26.0,0,133,3.0,3.0,0.0,0.0,0.0,1.5,1.5,0.0,3
Kaide Gordon,2,14,16.0,0,9,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,3
Neco Williams,0,14,20.0,0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,3
João Cancelo,0,15,27.0,36,3227,1.0,1.0,7.0,7.0,0.0,4.0,4.0,5.4,3
Rodri,1,15,25.0,33,2884,7.0,7.0,2.0,5.0,0.0,2.3,2.3,1.4,3
