Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Danilo,3,15,27,9,807,1.0,1.0,0.0,1.0,0.0,0.4,0.4,0.2
Gabriel Jesus,1,15,21,8,1036,7.0,6.0,3.0,1.0,0.0,11.2,10.5,2.3
Fabian Delph,3,15,28,8,725,0.0,0.0,1.0,1.0,1.0,0.1,0.1,0.3
Phil Foden,2,15,18,3,335,1.0,1.0,0.0,0.0,0.0,2.1,2.1,0.9
Paul Pogba,2,16,25,34,3006,13.0,6.0,9.0,6.0,0.0,15.0,7.1,4.7
Victor Lindelöf,3,16,24,29,2601,1.0,1.0,1.0,1.0,0.0,0.7,0.7,1.2
Luke Shaw,3,16,23,29,2591,1.0,1.0,4.0,11.0,0.0,1.4,1.4,3.9
Ashley Young,3,16,33,28,2569,2.0,2.0,2.0,9.0,1.0,0.5,0.5,3.1
Nemanja Matić,2,16,29,28,2436,1.0,1.0,0.0,7.0,1.0,1.3,1.3,0.5
Marcus Rashford,1,16,20,26,2334,10.0,10.0,6.0,3.0,1.0,10.7,10.7,5.0
Chris Smalling,3,16,28,24,2127,1.0,1.0,0.0,1.0,0.0,1.2,1.2,0.2
Romelu Lukaku,1,16,25,22,2136,12.0,12.0,0.0,4.0,0.0,10.5,10.5,2.2
Jesse Lingard,1,16,25,19,1663,4.0,3.0,2.0,3.0,0.0,4.7,3.9,2.7
Anthony Martial,1,16,22,18,1621,10.0,9.0,2.0,2.0,0.0,6.2,5.4,2.9
Ander Herrera,2,16,28,16,1403,2.0,2.0,3.0,4.0,0.0,1.3,1.3,1.6
Juan Mata,1,16,30,16,1289,3.0,3.0,2.0,3.0,0.0,1.6,1.6,2.9
Phil Jones,3,16,26,15,1263,0.0,0.0,1.0,1.0,0.0,0.4,0.4,0.5
Fred,2,16,25,13,1041,1.0,1.0,1.0,2.0,0.0,0.8,0.8,1.0
Diogo Dalot,3,16,19,12,1013,0.0,0.0,2.0,3.0,0.0,0.7,0.7,2.3
Alexis Sánchez,1,16,29,9,880,1.0,1.0,3.0,3.0,0.0,1.5,1.5,3.0
Scott McTominay,2,16,21,9,867,2.0,2.0,0.0,1.0,0.0,1.5,1.5,0.0
Eric Bailly,3,16,24,8,638,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.0
Marouane Fellaini,2,16,30,6,752,0.0,0.0,1.0,1.0,0.0,0.4,0.4,0.4
Andreas Pereira,2,16,22,6,599,1.0,1.0,1.0,5.0,0.0,0.3,0.3,0.9
Antonio Valencia,3,16,32,5,466,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.5
Matteo Darmian,3,16,28,5,443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Marcos Rojo,3,16,28,2,212,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0
Mason Greenwood,1,16,16,1,117,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1
Tahith Chong,1,16,18,0,38,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
Angel Gomes,2,16,17,0,27,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
James Garner,2,16,17,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Ritchie,3,17,28,35,2928,2.0,1.0,8.0,9.0,0.0,5.1,3.6,5.3
Ayoze Pérez,2,17,25,34,2917,12.0,12.0,2.0,2.0,0.0,7.5,7.5,3.6
Jamaal Lascelles,3,17,24,32,2745,0.0,0.0,1.0,4.0,0.0,0.6,0.6,0.9
Salomón Rondón,1,17,28,30,2603,11.0,11.0,7.0,1.0,0.0,10.4,10.4,3.0
DeAndre Yedlin,3,17,25,28,2473,1.0,1.0,2.0,6.0,1.0,1.2,1.2,2.0
Mohamed Diamé,2,17,31,24,2166,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.1
Fabian Schär,3,17,26,22,1999,4.0,4.0,1.0,12.0,0.0,1.9,1.9,0.7
Paul Dummett,3,17,26,21,1990,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7
Isaac Hayden,2,17,23,21,1859,1.0,1.0,4.0,3.0,1.0,0.9,0.9,2.3
Federico Fernández,3,17,29,17,1484,0.0,0.0,1.0,2.0,0.0,0.2,0.2,0.5
Christian Atsu,2,17,26,15,1493,1.0,1.0,0.0,2.0,0.0,2.1,2.1,1.6
Kenedy,2,17,22,14,1348,1.0,1.0,1.0,1.0,0.0,2.2,1.4,0.7
