Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Ruben Loftus-Cheek,"MF,FW",Chelsea,23.0,2,208,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.4
Billy Gilmour,MF,Chelsea,18.0,2,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Michy Batshuayi,FW,Chelsea,25.0,1,239,1.0,1.0,1.0,0.0,0.0,2.4,2.4,0.2
Tariq Lamptey,DF,Chelsea,18.0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Faustino Anjorin,FW,Chelsea,17.0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armando Broja,FW,Chelsea,17.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilfried Zaha,"FW,MF",Crystal Palace,26.0,37,"3,280",4.0,4.0,3.0,5.0,0.0,5.2,5.2,4.0
Jordan Ayew,FW,Crystal Palace,27.0,37,"3,148",9.0,9.0,2.0,6.0,0.0,7.5,7.5,2.5
James McArthur,MF,Crystal Palace,31.0,37,"3,090",0.0,0.0,3.0,6.0,0.0,2.0,2.0,2.4
Vicente Guaita,GK,Crystal Palace,32.0,35,"3,150",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cheikhou Kouyaté,"MF,DF",Crystal Palace,29.0,29,"2,528",1.0,1.0,1.0,4.0,0.0,2.7,2.7,0.9
Patrick van Aanholt,DF,Crystal Palace,28.0,29,"2,507",3.0,2.0,2.0,0.0,0.0,2.1,1.3,3.7
Luka Milivojević,MF,Crystal Palace,28.0,28,"2,513",3.0,1.0,1.0,12.0,0.0,2.7,1.2,2.1
Joel Ward,DF,Crystal Palace,29.0,27,"2,382",0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.3
Gary Cahill,DF,Crystal Palace,33.0,25,"2,167",0.0,0.0,1.0,1.0,0.0,1.6,1.6,0.2
James Tomkins,DF,Crystal Palace,30.0,18,"1,582",1.0,1.0,1.0,5.0,0.0,1.1,1.1,0.1
Martin Kelly,DF,Crystal Palace,29.0,17,"1,549",0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.8
James McCarthy,MF,Crystal Palace,28.0,16,"1,680",0.0,0.0,0.0,9.0,0.0,0.5,0.5,1.3
Andros Townsend,"FW,MF",Crystal Palace,28.0,14,"1,294",1.0,1.0,1.0,0.0,0.0,0.4,0.4,1.9
Scott Dann,DF,Crystal Palace,32.0,14,"1,266",0.0,0.0,1.0,0.0,0.0,0.8,0.8,0.4
Christian Benteke,FW,Crystal Palace,28.0,13,"1,261",2.0,2.0,1.0,4.0,1.0,5.1,5.1,2.6
Jeffrey Schlupp,"FW,MF",Crystal Palace,26.0,11,"1,036",3.0,3.0,1.0,2.0,0.0,1.7,1.7,0.8
Mamadou Sakho,DF,Crystal Palace,29.0,11,931,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1
Jaïro Riedewald,"DF,MF",Crystal Palace,22.0,7,769,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2
Max Meyer,"MF,FW",Crystal Palace,23.0,6,655,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2
Wayne Hennessey,GK,Crystal Palace,32.0,3,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrick Mitchell,DF,Crystal Palace,19.0,2,195,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2
Cenk Tosun,FW,Crystal Palace,28.0,2,177,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.6
Connor Wickham,"FW,MF",Crystal Palace,26.0,0,96,1.0,1.0,1.0,0.0,0.0,1.4,1.4,0.6
Brandon Pierrick,"MF,FW",Crystal Palace,17.0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Víctor Camarasa,FW,Crystal Palace,25.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Pickford,GK,Everton,25.0,38,"3,420",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1
Richarlison,"FW,MF",Everton,22.0,36,"3,070",13.0,13.0,3.0,8.0,0.0,9.1,9.1,6.7
Lucas Digne,DF,Everton,26.0,35,"3,030",0.0,0.0,7.0,6.0,0.0,1.5,1.5,6.3
Dominic Calvert-Lewin,FW,Everton,22.0,30,"2,626",13.0,13.0,1.0,9.0,0.0,15.3,15.3,1.5
Gylfi Sigurðsson,MF,Everton,29.0,28,"2,560",2.0,1.0,3.0,3.0,0.0,4.0,3.2,4.2
Michael Keane,DF,Everton,26.0,28,"2,559",2.0,2.0,0.0,3.0,0.0,1.9,1.9,0.7
Yerry Mina,DF,Everton,24.0,25,"2,284",2.0,2.0,1.0,3.0,0.0,3.4,3.4,1.4
Mason Holgate,DF,Everton,22.0,24,"2,054",0.0,0.0,3.0,5.0,0.0,1.7,1.7,0.7
Tom Davies,MF,Everton,21.0,23,"2,027",1.0,1.0,0.0,8.0,0.0,1.6,1.6,0.5
Séamus Coleman,DF,Everton,30.0,21,"1,839",0.0,0.0,1.0,5.0,1.0,0.9,0.9,1.7
Alex Iwobi,"MF,FW",Everton,23.0,19,"1,596",1.0,1.0,0.0,0.0,0.0,2.5,2.5,1.9
Djibril Sidibé,"DF,MF",Everton,27.0,18,"1,824",0.0,0.0,4.0,3.0,0.0,0.4,0.4,2.3
André Gomes,MF,Everton,26.0,17,"1,458",0.0,0.0,1.0,6.0,0.0,0.2,0.2,1.1
Theo Walcott,"MF,FW",Everton,30.0,17,"1,287",2.0,2.0,3.0,1.0,0.0,3.1,3.1,3.7
Bernard,"MF,FW",Everton,26.0,15,"1,280",3.0,3.0,2.0,2.0,0.0,1.8,1.8,2.4
Fabian Delph,MF,Everton,29.0,13,"1,190",0.0,0.0,0.0,5.0,1.0,0.1,0.1,0.4
Morgan Schneiderlin,MF,Everton,29.0,12,"1,001",0.0,0.0,0.0,6.0,1.0,0.2,0.2,0.1
Moise Kean,FW,Everton,19.0,6,852,2.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0
Anthony Gordon,"MF,FW",Everton,18.0,4,440,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.4
Leighton Baines,DF,Everton,34.0,4,404,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8
Jarrad Branthwaite,DF,Everton,17.0,2,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cenk Tosun,FW,Everton,28.0,2,291,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.2
Jean-Philippe Gbamin,MF,Everton,23.0,1,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oumar Niasse,FW,Everton,29.0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasper Schmeichel,GK,Leicester City,32.0,38,"3,420",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5
Jonny Evans,DF,Leicester City,31.0,38,"3,383",1.0,1.0,1.0,8.0,1.0,3.7,3.7,0.7
