Player Name,Position,Club Name,Age,Starts,Mins,Goals,npG,Assists,crdY,crdR,xG,npXG,xA
Mamadou Sakho,3,8,29,11,931,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1
Jaïro Riedewald,3,8,22,7,769,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2
Max Meyer,2,8,23,6,655,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2
Tyrick Mitchell,3,8,19,2,195,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2
Cenk Tosun,1,8,28,2,177,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.6
Connor Wickham,1,8,26,0,96,1.0,1.0,1.0,0.0,0.0,1.4,1.4,0.6
Brandon Pierrick,2,8,17,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Víctor Camarasa,1,8,25,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richarlison,1,9,22,36,3070,13.0,13.0,3.0,8.0,0.0,9.1,9.1,6.7
Lucas Digne,3,9,26,35,3030,0.0,0.0,7.0,6.0,0.0,1.5,1.5,6.3
Dominic Calvert-Lewin,1,9,22,30,2626,13.0,13.0,1.0,9.0,0.0,15.3,15.3,1.5
Gylfi Sigurðsson,2,9,29,28,2560,2.0,1.0,3.0,3.0,0.0,4.0,3.2,4.2
Michael Keane,3,9,26,28,2559,2.0,2.0,0.0,3.0,0.0,1.9,1.9,0.7
Yerry Mina,3,9,24,25,2284,2.0,2.0,1.0,3.0,0.0,3.4,3.4,1.4
Mason Holgate,3,9,22,24,2054,0.0,0.0,3.0,5.0,0.0,1.7,1.7,0.7
Tom Davies,2,9,21,23,2027,1.0,1.0,0.0,8.0,0.0,1.6,1.6,0.5
Séamus Coleman,3,9,30,21,1839,0.0,0.0,1.0,5.0,1.0,0.9,0.9,1.7
Alex Iwobi,2,9,23,19,1596,1.0,1.0,0.0,0.0,0.0,2.5,2.5,1.9
Djibril Sidibé,3,9,27,18,1824,0.0,0.0,4.0,3.0,0.0,0.4,0.4,2.3
André Gomes,2,9,26,17,1458,0.0,0.0,1.0,6.0,0.0,0.2,0.2,1.1
Theo Walcott,2,9,30,17,1287,2.0,2.0,3.0,1.0,0.0,3.1,3.1,3.7
Bernard,2,9,26,15,1280,3.0,3.0,2.0,2.0,0.0,1.8,1.8,2.4
Fabian Delph,2,9,29,13,1190,0.0,0.0,0.0,5.0,1.0,0.1,0.1,0.4
Morgan Schneiderlin,2,9,29,12,1001,0.0,0.0,0.0,6.0,1.0,0.2,0.2,0.1
Moise Kean,1,9,19,6,852,2.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0
Anthony Gordon,2,9,18,4,440,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.4
Leighton Baines,3,9,34,4,404,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8
Jarrad Branthwaite,3,9,17,2,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cenk Tosun,1,9,28,2,291,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.2
Jean-Philippe Gbamin,2,9,23,1,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oumar Niasse,1,9,29,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonny Evans,3,13,31,38,3383,1.0,1.0,1.0,8.0,1.0,3.7,3.7,0.7
Çağlar Söyüncü,3,13,23,34,3036,1.0,1.0,1.0,4.0,1.0,2.1,2.1,0.8
